,name,EFA,thc_input,cbd_input,type_Indica,type_Sativa
34,Cat Piss,"Happy, Energetic, Creative, Uplifted, Euphoric, Dry Mouth, Paranoid, Anxious, Ammonia, Earthy, Stress, Depression, Pain, Lack of Appetite",861.6176470588235,16.0,0,0
35,Chocolate Kush,"Relaxed, Sleepy, Happy, Euphoric, Hungry, Dry Mouth, Paranoid, Earthy, Coffee, Sweet, Stress, Pain, Insomnia, Lack of Appetite",861.6176470588235,16.0,0,0
36,Chocolope,"Happy, Energetic, Uplifted, Euphoric, Creative, Dry Mouth, Anxious, Paranoid, Earthy, Coffee, Sweet, Stress, Depression, Pain, Lack of Appetite",1900.0,30.0,0,1
37,Church OG,"Relaxed, Happy, Uplifted, Creative, Horny, Dry Mouth, Paranoid, Earthy, Citrus, Stress, Depression, Pain, Insomnia",127.0,20.0,0,0
38,Cracker Jack,"Uplifted, Energetic, Focused, Creative, Talkative, Dry Mouth, Paranoid, Citrus, Stress, Depression, Lack of Appetite, Nausea",861.6176470588235,16.0,0,0
39,Critical Mass,"Relaxed, Happy, Sleepy, Uplifted, Focused, Dry Mouth, Anxious, Paranoid, Earthy, Sweet, Stress, Pain, Depression, Insomnia, Inflammation",861.6176470588235,16.0,0,0
40,Darth Vader OG,"Relaxed, Sleepy, Happy, Euphoric, Hungry, Dry Mouth, Paranoid, Grape, Earthy, Sweet, Insomnia, Stress, Pain, Depression",127.0,13.0,1,0
41,Death Star,"Relaxed, Happy, Euphoric, Sleepy, Uplifted, Dry Mouth, Anxious, Paranoid, Earthy, Stress, Pain, Depression, Insomnia, Nausea",861.6176470588235,16.0,0,0
42,Deep Purple,"Relaxed, Euphoric, Sleepy, Happy, Tingly, Dry Mouth, Anxious, Grape, Earthy, Sweet, Stress, Pain, Depression, Insomnia, Lack of Appetite",127.0,16.0,0,0
43,Diablo,"Relaxed, Happy, Euphoric, Uplifted, Sleepy, Dry Mouth, Anxious, Paranoid, Earthy, Stress, Pain, Insomnia, Depression, Inflammation",1700.0,16.0,0,0
44,DJ Short Blueberry,"Relaxed, Happy, Euphoric, Uplifted, Creative, Dry Mouth, Anxious, Blueberry, Sweet, Berry, Stress, Insomnia, Pain, Depression, Lack of Appetite",858.4444444444445,13.0,1,0
45,Double Diesel,"Creative, Happy, Focused, Energetic, Euphoric, Dry Mouth, Paranoid, Lime, Citrus, Depression, Stress, Pain, Insomnia",861.6176470588235,16.0,0,0
46,Durban Poison,"Uplifted, Happy, Energetic, Focused, Euphoric, Dry Mouth, Paranoid, Anxious, Earthy, Sweet, Pine, Depression, Stress, Pain, Nausea",127.0,30.0,0,1
47,Early Girl,"Relaxed, Happy, Uplifted, Euphoric, Hungry, Dry Mouth, Anxious, Paranoid, Citrus, Earthy, Sweet, Stress, Pain, Depression, Muscle Spasms, Lack of Appetite",858.4444444444445,13.0,1,0
48,East Coast Sour Diesel,"Happy, Focused, Energetic, Uplifted, Euphoric, Dry Mouth, Paranoid, Anxious, Citrus, Lemon, Muscle Spasms, Stress, Pain, Depression, Inflammation",127.0,30.0,0,1
49,Fire Haze,"Focused, Euphoric, Happy, Relaxed, Uplifted, Dry Mouth, Paranoid, Anxious, Sweet, Berry, Earthy, Stress, Depression, Pain",127.0,30.0,0,1
50,Frostbite,"Sleepy, Happy, Relaxed, Tingly, Uplifted, Dry Mouth, Earthy, Skunk, Berry, Depression, Insomnia, Pain, Lack of Appetite, Stress",924.3125,30.0,0,1
51,Fucking Incredible,"Relaxed, Euphoric, Happy, Uplifted, Dry Mouth, Paranoid, Anxious, Skunk, Earthy, Pain, Stress, Depression, Insomnia",861.6176470588235,16.0,0,0
52,God Bud,"Relaxed, Happy, Euphoric, Sleepy, Uplifted, Dry Mouth, Paranoid, Anxious, Earthy, Sweet, Stress, Pain, Depression, Inflammation, Insomnia",861.6176470588235,16.0,0,0
53,Godberry,"Relaxed, Sleepy, Happy, Euphoric, Dry Mouth, Paranoid, Berry, Blueberry, Sweet, Insomnia, Pain, Stress, Muscle Spasms, Depression",858.4444444444445,13.0,1,0
54,Goo,"Sleepy, Relaxed, Hungry, Euphoric, Happy, Dry Mouth, Paranoid, Berry, Sweet, Blueberry, Pain, Stress, Insomnia, Lack of Appetite, Muscle Spasms",1300.0,16.0,0,0
55,Grand Hindu,"Relaxed, Sleepy, Happy, Horny, Creative, Dry Mouth, Paranoid, Grape, Citrus, Inflammation, Pain, Stress",858.4444444444445,13.0,1,0
56,Grape Ape,"Relaxed, Sleepy, Happy, Euphoric, Uplifted, Dry Mouth, Anxious, Grape, Sweet, Berry, Stress, Pain, Insomnia, Depression",1600.0,16.0,0,0
57,Grape Crush,"Relaxed, Euphoric, Happy, Uplifted, Creative, Dry Mouth, Grape, Sweet, Berry, Stress, Pain, Depression, Muscle Spasms, Insomnia",858.4444444444445,13.0,1,0
58,Grape Skunk,"Happy, Uplifted, Talkative, Energetic, Relaxed, Dry Mouth, Skunk, Earthy, Grape, Nausea, Stress, Pain, Depression, Insomnia",127.0,16.0,0,0
59,Grapefruit,"Happy, Energetic, Euphoric, Relaxed, Uplifted, Dry Mouth, Paranoid, Citrus, Sweet, Stress, Depression, Pain",127.0,40.0,0,0
60,Grapefruit Haze,"Uplifted, Happy, Euphoric, Relaxed, Talkative, Dry Mouth, Paranoid, Anxious, Lemon, Citrus, Stress, Depression, Pain, Muscle Spasms",861.6176470588235,16.0,0,0
61,Gravity,"Sleepy, Hungry, Relaxed, Horny, Euphoric, Dry Mouth, Paranoid, Sweet, Citrus, Rose, Stress, Depression, Pain, Insomnia",861.6176470588235,16.0,0,0
62,Green Candy,"Happy, Uplifted, Relaxed, Energetic, Focused, Dry Mouth, Paranoid, Anxious, Sweet, Pine, Earthy, Depression, Stress, Nausea, Pain, Insomnia",127.0,16.0,0,0
63,Green Crack,"Energetic, Happy, Uplifted, Focused, Euphoric, Dry Mouth, Anxious, Paranoid, Citrus, Sweet, Earthy, Stress, Depression, Pain",1700.0,16.0,0,0
64,Green Crack Extreme,"Energetic, Talkative, Uplifted, Creative, Focused, Dry Mouth, Paranoid, Sweet, Earthy, Stress, Depression, Pain, Nausea",127.0,30.0,0,1
65,Green Goblin,"Uplifted, Focused, Happy, Creative, Euphoric, Dry Mouth, Paranoid, Anxious, Pine, Citrus, Lack of Appetite, Stress, Depression, Insomnia",924.3125,30.0,0,1
66,Green Kush,"Euphoric, Hungry, Energetic, Sleepy, Relaxed, Dry Mouth, Paranoid, Citrus, Sweet, Earthy, Stress, Pain, Depression, Nausea, Insomnia",861.6176470588235,16.0,0,0
67,Harlequin,"Relaxed, Focused, Uplifted, Happy, Energetic, Dry Mouth, Anxious, Earthy, Sweet, Stress, Pain, Depression, Inflammation",600.0,1000.0,0,0
68,Hash Plant,"Relaxed, Sleepy, Happy, Hungry, Euphoric, Dry Mouth, Paranoid, Earthy, Stress, Pain, Insomnia, Depression",127.0,13.0,1,0
69,Hashberry,"Relaxed, Happy, Euphoric, Uplifted, Tingly, Dry Mouth, Paranoid, Anxious, Berry, Sweet, Pain, Insomnia, Lack of Appetite, Muscle Spasms",861.6176470588235,16.0,0,0
70,Hashplant Haze,"Happy, Uplifted, Relaxed, Euphoric, Sleepy, Dry Mouth, Anxious, Blueberry, Sweet, Orange, Pain, Stress, Depression, Insomnia",924.3125,30.0,0,1
71,Hawaiian Delight,"Happy, Relaxed, Horny, Uplifted, Euphoric, Dry Mouth, Paranoid, Sweet, Pain, Stress, Nausea, Depression",858.4444444444445,13.0,1,0
72,Hawaiian Sativa,"Uplifted, Euphoric, Happy, Relaxed, Sleepy, Dry Mouth, Paranoid, Citrus, Sweet, Nausea, Stress, Depression, Insomnia, Pain",861.6176470588235,16.0,0,0
73,Haze,"Euphoric, Uplifted, Happy, Energetic, Creative, Dry Mouth, Paranoid, Anxious, Earthy, Sweet, Stress, Depression, Pain",127.0,16.0,0,0
74,Hempstar,"Happy, Focused, Relaxed, Euphoric, Uplifted, Dry Mouth, Paranoid, Earthy, Stress, Depression, Nausea, Pain, Lack of Appetite",924.3125,30.0,0,1
75,Hindu Kush,"Relaxed, Sleepy, Euphoric, Happy, Hungry, Dry Mouth, Anxious, Paranoid, Earthy, Sweet, Stress, Pain, Insomnia, Depression, Lack of Appetite",127.0,16.0,0,0
76,Hindu Skunk,"Relaxed, Happy, Euphoric, Sleepy, Hungry, Dry Mouth, Paranoid, Skunk, Earthy, Sweet, Stress, Pain, Insomnia, Depression, Nausea",127.0,16.0,0,0
77,Ingrid,"Relaxed, Happy, Sleepy, Euphoric, Hungry, Dry Mouth, Paranoid, Earthy, Skunk, Pain, Inflammation, Stress, Insomnia, Depression",127.0,16.0,0,0
78,Island Sweet Skunk,"Happy, Uplifted, Energetic, Euphoric, Creative, Dry Mouth, Paranoid, Sweet, Skunk, Stress, Pain, Depression",127.0,30.0,0,1
79,J-27,"Energetic, Focused, Uplifted, Creative, Euphoric, Anxious, Dry Mouth, Paranoid, Citrus, Orange, Stress, Pain, Nausea",924.3125,30.0,0,1
80,Jack Herer,"Happy, Energetic, Uplifted, Creative, Euphoric, Dry Mouth, Paranoid, Anxious, Earthy, Pine, Stress, Depression, Pain, Lack of Appetite",1600.0,16.0,0,0
81,Jack the Ripper,"Happy, Energetic, Uplifted, Euphoric, Talkative, Dry Mouth, Paranoid, Anxious, Lemon, Citrus, Earthy, Stress, Depression, Pain",1100.0,16.0,0,0
82,Jamaican Pearl,"Euphoric, Happy, Uplifted, Creative, Energetic, Dry Mouth, Paranoid, Earthy, Sweet, Stress, Depression, Pain, Nausea",924.3125,30.0,0,1
83,Jupiter OG,"Relaxed, Sleepy, Euphoric, Happy, Hungry, Dry Mouth, Paranoid, Pine, Citrus, Insomnia, Pain, Stress, Depression, Nausea",1700.0,16.0,0,0
84,Kaboom,"Happy, Uplifted, Energetic, Creative, Euphoric, Dry Mouth, Paranoid, Anxious, Earthy, Pine, Depression, Stress, Pain, Nausea",861.6176470588235,16.0,0,0
85,Kahuna,"Uplifted, Euphoric, Relaxed, Creative, Focused, Dry Mouth, Sweet, Orange, Stress, Pain, Depression, Insomnia",861.6176470588235,16.0,0,0
86,Kali Mist,"Energetic, Creative, Happy, Focused, Uplifted, Dry Mouth, Anxious, Paranoid, Earthy, Sweet, Citrus, Stress, Pain, Depression, Lack of Appetite, Muscle Spasms",1000.0,16.0,0,0
87,Kryptonite,"Relaxed, Happy, Tingly, Uplifted, Euphoric, Dry Mouth, Paranoid, Anxious, Sweet, Earthy, Pine, Pain, Stress, Insomnia, Depression",1600.0,16.0,0,0
88,Kushberry,"Relaxed, Happy, Euphoric, Sleepy, Uplifted, Dry Mouth, Anxious, Berry, Sweet, Earthy, Stress, Insomnia, Pain, Depression",858.4444444444445,13.0,1,0
89,LA Confidential,"Relaxed, Happy, Sleepy, Euphoric, Uplifted, Dry Mouth, Paranoid, Anxious, Earthy, Pine, Sweet, Stress, Pain, Insomnia, Depression",1300.0,16.0,0,0
90,Lavender,"Relaxed, Happy, Euphoric, Sleepy, Uplifted, Dry Mouth, Paranoid, Lavender, Sweet, Stress, Pain, Depression, Insomnia, Nausea",127.0,13.0,1,0
91,Lemon G,"Focused, Happy, Relaxed, Uplifted, Creative, Dry Mouth, Paranoid, Lemon, Citrus, Sweet, Pain, Stress, Depression, Inflammation, Nausea",127.0,16.0,0,0
92,Lemon Haze,"Happy, Uplifted, Euphoric, Energetic, Relaxed, Dry Mouth, Anxious, Paranoid, Lemon, Citrus, Sweet, Stress, Depression, Pain, Lack of Appetite",1800.0,16.0,0,0
93,Lemon Sativa,"Happy, Euphoric, Energetic, Creative, Focused, Dry Mouth, Paranoid, Anxious, Lemon, Citrus, Earthy, Pain, Stress, Depression, Insomnia",924.3125,30.0,0,1
94,Lions Gate,"Happy, Uplifted, Energetic, Focused, Creative, Dry Mouth, Paranoid, Citrus, Stress, Insomnia, Nausea",861.6176470588235,16.0,0,0
95,Liquid Butter,"Relaxed, Sleepy, Happy, Euphoric, Talkative, Dry Mouth, Paranoid, Earthy, Stress, Insomnia, Pain, Depression",858.4444444444445,13.0,1,0
96,M-39,"Relaxed, Sleepy, Euphoric, Horny, Hungry, Dry Mouth, Paranoid, Earthy, Lemon, Stress, Insomnia, Depression, Pain",858.4444444444445,13.0,1,0
97,Madagascar,"Sleepy, Relaxed, Hungry, Happy, Euphoric, Dry Mouth, Earthy, Sweet, Skunk, Insomnia, Stress, Pain, Muscle Spasms",858.4444444444445,13.0,1,0
98,Mako Haze,"Happy, Euphoric, Relaxed, Hungry, Dry Mouth, Paranoid, Citrus, Pine, Earthy, Stress, Depression, Lack of Appetite, Pain",861.6176470588235,16.0,0,0
99,Mango,"Relaxed, Euphoric, Happy, Sleepy, Hungry, Dry Mouth, Paranoid, Anxious, Mango, Sweet, Stress, Pain, Depression, Insomnia, Lack of Appetite",127.0,16.0,0,0
100,Mango Dream,"Happy, Creative, Euphoric, Relaxed, Focused, Paranoid, Dry Mouth, Sweet, Mango, Earthy, Stress, Pain, Depression",861.6176470588235,16.0,0,0
101,Mars OG,"Relaxed, Sleepy, Happy, Euphoric, Hungry, Dry Mouth, Paranoid, Pine, Earthy, Stress, Insomnia, Lack of Appetite, Depression",127.0,16.0,0,0
102,Master Bubba,"Relaxed, Sleepy, Hungry, Euphoric, Happy, Dry Mouth, Anxious, Earthy, Sweet, Stress, Pain, Insomnia, Lack of Appetite, Inflammation",127.0,16.0,0,0
103,Master Kush,"Relaxed, Happy, Sleepy, Euphoric, Hungry, Dry Mouth, Paranoid, Anxious, Earthy, Stress, Pain, Insomnia, Depression",127.0,15.0,0,0
104,Maui,"Talkative, Energetic, Happy, Uplifted, Euphoric, Dry Mouth, Anxious, Citrus, Sweet, Depression, Stress, Lack of Appetite",127.0,10.0,0,0
105,Mazar I Sharif,"Relaxed, Euphoric, Happy, Sleepy, Creative, Dry Mouth, Paranoid, Earthy, Insomnia, Stress, Pain, Depression, Lack of Appetite",127.0,13.0,1,0
106,Mercury OG,"Relaxed, Euphoric, Happy, Sleepy, Hungry, Dry Mouth, Paranoid, Earthy, Stress, Pain, Depression, Insomnia, Nausea",127.0,13.0,1,0
107,Mexican,"Uplifted, Focused, Happy, Hungry, Relaxed, Dry Mouth, Paranoid, Earthy, Depression, Stress, Lack of Appetite",924.3125,30.0,0,1
108,Misty Kush,"Happy, Euphoric, Relaxed, Uplifted, Talkative, Dry Mouth, Paranoid, Sweet, Mango, Lemon, Muscle Spasms, Pain, Insomnia",858.4444444444445,13.0,1,0
109,MK Ultra,"Relaxed, Happy, Euphoric, Sleepy, Uplifted, Dry Mouth, Paranoid, Earthy, Sweet, Stress, Insomnia, Pain, Depression, Lack of Appetite",127.0,16.0,0,0
110,Moby Dick,"Happy, Euphoric, Uplifted, Relaxed, Energetic, Dry Mouth, Paranoid, Anxious, Citrus, Earthy, Sweet, Stress, Depression, Pain",1100.0,16.0,0,0
111,Neptune Kush,"Relaxed, Uplifted, Happy, Hungry, Dry Mouth, Paranoid, Citrus, Pine, Honey, Depression, Insomnia, Stress, Pain, Lack of Appetite",858.4444444444445,13.0,1,0
112,Neptune OG,"Relaxed, Sleepy, Hungry, Focused, Happy, Dry Mouth, Paranoid, Anxious, Earthy, Insomnia, Pain, Stress, Muscle Spasms, Nausea",1100.0,16.0,0,0
113,Northern Lights,"Relaxed, Sleepy, Happy, Euphoric, Hungry, Dry Mouth, Anxious, Paranoid, Earthy, Pine, Sweet, Stress, Pain, Insomnia, Depression, Lack of Appetite",127.0,16.0,0,0
114,Northern Lights #5,"Relaxed, Euphoric, Happy, Focused, Uplifted, Dry Mouth, Paranoid, Sweet, Pine, Citrus, Pain, Stress, Insomnia, Inflammation, Nausea",861.6176470588235,16.0,0,0
115,Nuggetry OG,"Creative, Euphoric, Sleepy, Happy, Dry Mouth, Paranoid, Earthy, Insomnia, Pain, Stress, Nausea, Depression",858.4444444444445,13.0,1,0
116,Orange Kush,"Relaxed, Happy, Uplifted, Sleepy, Euphoric, Dry Mouth, Paranoid, Anxious, Citrus, Orange, Sweet, Stress, Pain, Depression, Insomnia, Nausea",861.6176470588235,16.0,0,0
117,Panama Red,"Happy, Uplifted, Energetic, Focused, Horny, Dry Mouth, Anxious, Paranoid, Citrus, Pine, Depression, Stress, Pain",861.6176470588235,16.0,0,0
118,Papaya,"Relaxed, Sleepy, Happy, Uplifted, Hungry, Dry Mouth, Paranoid, Anxious, Sweet, Stress, Pain, Insomnia, Inflammation",1500.0,16.0,0,0
119,Pineapple Thai,"Happy, Relaxed, Euphoric, Focused, Uplifted, Dry Mouth, Paranoid, Pineapple, Sweet, Pain, Muscle Spasms, Stress, Depression",1300.0,16.0,0,0
120,Pitbull,"Relaxed, Sleepy, Happy, Euphoric, Hungry, Dry Mouth, Paranoid, Anxious, Earthy, Sweet, Pain, Stress, Depression, Nausea, Insomnia",858.4444444444445,13.0,1,0
121,Platinum Bubba Kush,"Relaxed, Happy, Euphoric, Sleepy, Uplifted, Dry Mouth, Paranoid, Earthy, Pain, Stress, Insomnia, Depression, Inflammation",1700.0,13.0,1,0
122,Platinum Kush,"Relaxed, Happy, Hungry, Euphoric, Sleepy, Dry Mouth, Paranoid, Anxious, Earthy, Sweet, Stress, Insomnia, Lack of Appetite, Pain, Depression",127.0,16.0,0,0
123,Platinum OG,"Relaxed, Sleepy, Euphoric, Happy, Hungry, Dry Mouth, Paranoid, Anxious, Earthy, Sweet, Stress, Insomnia, Pain, Depression, Lack of Appetite",1600.0,13.0,1,0
124,Platinum Purple Kush,"Relaxed, Euphoric, Happy, Hungry, Uplifted, Dry Mouth, Paranoid, Anxious, Sweet, Berry, Earthy, Insomnia, Stress, Pain, Depression, Lack of Appetite",127.0,13.0,1,0
125,Pluto Kush,"Euphoric, Sleepy, Creative, Hungry, Relaxed, Dry Mouth, Blueberry, Berry, Insomnia, Pain, Stress, Depression, Nausea",858.4444444444445,13.0,1,0
126,Poison Haze,"Energetic, Happy, Relaxed, Uplifted, Dry Mouth, Paranoid, Citrus, Orange, Depression, Insomnia, Nausea, Pain, Stress",924.3125,30.0,0,1
127,Pot of Gold,"Relaxed, Sleepy, Euphoric, Hungry, Uplifted, Paranoid, Anxious, Dry Mouth, Sweet, Grape, Pineapple, Insomnia, Pain, Lack of Appetite, Stress",127.0,16.0,0,0
128,Power Kush,"Relaxed, Sleepy, Euphoric, Happy, Uplifted, Paranoid, Dry Mouth, Anxious, Sweet, Skunk, Lime, Stress, Pain, Depression, Muscle Spasms",127.0,16.0,0,0
129,Power Plant,"Happy, Uplifted, Relaxed, Euphoric, Energetic, Dry Mouth, Paranoid, Earthy, Pain, Stress, Depression, Inflammation",1200.0,16.0,0,0
130,Pure Afghan,"Relaxed, Sleepy, Happy, Hungry, Creative, Dry Mouth, Paranoid, Earthy, Insomnia, Pain, Stress, Depression",861.6176470588235,16.0,0,0
131,Pure Kush,"Relaxed, Sleepy, Euphoric, Happy, Hungry, Dry Mouth, Paranoid, Earthy, Skunk, Pain, Insomnia, Stress, Nausea",1900.0,13.0,1,0
132,Pure OG,"Relaxed, Sleepy, Happy, Euphoric, Uplifted, Dry Mouth, Paranoid, Earthy, Pine, Stress, Pain, Insomnia, Nausea, Inflammation",1500.0,13.0,1,0
133,Purple Afghani,"Relaxed, Sleepy, Happy, Euphoric, Uplifted, Dry Mouth, Anxious, Sweet, Grape, Stress, Pain, Insomnia, Depression",116.0,16.0,0,0
134,Purple Buddha,"Euphoric, Relaxed, Happy, Creative, Focused, Dry Mouth, Paranoid, Berry, Sweet, Grape, Insomnia, Stress, Pain, Depression",861.6176470588235,16.0,0,0
135,Purple Candy,"Relaxed, Happy, Sleepy, Euphoric, Hungry, Dry Mouth, Paranoid, Sweet, Grape, Earthy, Insomnia, Stress, Pain, Depression, Muscle Spasms",861.6176470588235,16.0,0,0
136,Purple Cream,"Relaxed, Happy, Sleepy, Hungry, Dry Mouth, Paranoid, Anxious, Pine, Sweet, Stress, Pain, Insomnia, Depression",127.0,16.0,0,0
137,Purple Dragon,"Relaxed, Euphoric, Uplifted, Happy, Dry Mouth, Paranoid, Anxious, Grape, Earthy, Sweet, Stress, Insomnia, Depression, Pain",1200.0,13.0,1,0
138,Purple Goo,"Relaxed, Euphoric, Happy, Talkative, Hungry, Dry Mouth, Paranoid, Lavender, Pine, Stress, Pain, Depression",861.6176470588235,16.0,0,0
139,Purple Haze,"Euphoric, Happy, Uplifted, Relaxed, Creative, Dry Mouth, Paranoid, Earthy, Sweet, Berry, Depression, Stress, Pain",127.0,16.0,0,0
140,Purple Kush,"Relaxed, Sleepy, Happy, Euphoric, Hungry, Dry Mouth, Paranoid, Earthy, Berry, Grape, Stress, Pain, Insomnia, Depression, Muscle Spasms",127.0,5.0,0,0
141,Purple Mr. Nice,"Relaxed, Sleepy, Euphoric, Happy, Uplifted, Dry Mouth, Anxious, Earthy, Grape, Sweet, Insomnia, Pain, Depression, Stress, Nausea",127.0,13.0,1,0
142,Purple Nepal,"Relaxed, Sleepy, Happy, Euphoric, Uplifted, Dry Mouth, Paranoid, Grape, Berry, Stress, Insomnia, Pain, Depression",127.0,16.0,0,0
